Data;Produto;Volume (kg)
2022-04-18;Tomate;246
2022-12-02;Tomate;430
2022-08-15;Cebola;643
2022-01-03;Cebola;543
2022-02-07;Cebola;200
2022-10-18;Batata Inglesa;235
2022-07-01;Tomate;552
2022-09-01;Batata Inglesa;599
2022-03-18;Cebola;645
2022-02-14;Tomate;805
2022-01-17;Tomate;513
2022-09-02;Cebola;263
2022-06-10;Cebola;486
2022-06-02;Cebola;459
2022-11-07;Cebola;861
2022-01-06;Batata Inglesa;907
2022-06-15;Cebola;612
2022-11-15;Cebola;655
2022-05-24;Tomate;491
2022-11-15;Tomate;643
2022-04-11;Cebola;420
2022-10-05;Cebola;841
2022-12-28;Cebola;602
2022-07-08;Tomate;373
2022-02-01;Tomate;276
2022-01-05;Tomate;844
2022-09-23;Batata Inglesa;428
2022-01-31;Batata Inglesa;447
2022-11-11;Tomate;568
2022-09-12;Cebola;586
2022-02-17;Batata Inglesa;407
2022-06-13;Batata Inglesa;603
2022-05-06;Cebola;837
2022-05-16;Cebola;318
2022-10-03;Tomate;104
2022-06-10;Tomate;377
2022-07-08;Tomate;492
2022-04-26;Batata Inglesa;413
2022-09-23;Batata Inglesa;633
2022-08-10;Batata Inglesa;442
2022-05-11;Cebola;419
2022-11-17;Tomate;618
2022-08-04;Batata Inglesa;229
2022-05-26;Tomate;660
2022-07-05;Batata Inglesa;572
2022-04-04;Tomate;906
2022-02-23;Cebola;433
2022-03-11;Tomate;566
2022-07-25;Cebola;384
2022-05-24;Tomate;411
2022-07-22;Tomate;663
2022-02-03;Tomate;379
2022-05-04;Tomate;323
2022-08-23;Tomate;661
2022-02-11;Batata Inglesa;349
2022-03-01;Tomate;614
2022-03-17;Cebola;388
2022-12-19;Cebola;668
2022-10-28;Batata Inglesa;448
2022-06-14;Cebola;354
2022-09-20;Batata Inglesa;310
2022-10-17;Tomate;606
2022-08-23;Batata Inglesa;566
2022-12-07;Batata Inglesa;152
2022-05-20;Batata Inglesa;614
2022-01-11;Batata Inglesa;463
2022-01-20;Batata Inglesa;648
2022-11-04;Cebola;670
2022-12-26;Tomate;454
2022-06-15;Batata Inglesa;217
2022-10-05;Tomate;211
2022-03-30;Tomate;494
2022-09-02;Cebola;442
2022-10-07;Tomate;796
2022-10-04;Batata Inglesa;999
2022-01-28;Tomate;709
2022-06-06;Cebola;472
2022-11-25;Tomate;449
2022-05-19;Cebola;793
2022-10-14;Tomate;559
2022-01-07;Batata Inglesa;828
2022-03-23;Cebola;649
2022-10-20;Tomate;543
2022-03-25;Batata Inglesa;556
2022-06-03;Tomate;697
2022-11-18;Batata Inglesa;999
2022-09-06;Tomate;363
2022-12-27;Cebola;572
2022-07-07;Tomate;583
2022-03-18;Batata Inglesa;505
2022-08-01;Cebola;585
2022-03-08;Cebola;590
2022-12-06;Tomate;999
2022-08-23;Cebola;778
2022-04-01;Batata Inglesa;657
2022-11-10;Tomate;915
2022-06-30;Tomate;409
2022-03-11;Tomate;322
2022-07-26;Batata Inglesa;694
2022-03-03;Cebola;823
2022-12-01;Batata Inglesa;107
2022-06-07;Tomate;255
2022-06-13;Tomate;999
2022-08-23;Batata Inglesa;475
2022-08-23;Tomate;594
2022-01-18;Batata Inglesa;418
2022-01-28;Cebola;409
2022-08-22;Cebola;835
2022-11-14;Cebola;412
2022-12-22;Batata Inglesa;437
2022-02-08;Batata Inglesa;489
2022-06-17;Tomate;469
2022-06-02;Tomate;694
2022-07-08;Cebola;640
2022-04-19;Batata Inglesa;811
2022-07-08;Tomate;529
2022-03-03;Tomate;303
2022-12-08;Cebola;626
2022-05-23;Batata Inglesa;400
2022-12-21;Tomate;758
2022-12-06;Cebola;632
2022-08-25;Cebola;130
2022-02-16;Cebola;426
2022-09-06;Tomate;777
2022-09-20;Batata Inglesa;112
2022-09-13;Cebola;423
2022-08-18;Tomate;605
2022-04-26;Batata Inglesa;700
2022-05-18;Tomate;538
2022-05-26;Cebola;576
2022-02-09;Cebola;463
2022-10-05;Tomate;633
2022-02-02;Batata Inglesa;436
2022-08-10;Tomate;487
2022-06-13;Tomate;843
2022-07-12;Tomate;289
2022-11-04;Cebola;814
2022-08-12;Cebola;514
2022-08-24;Cebola;440
2022-05-16;Batata Inglesa;511
2022-05-26;Batata Inglesa;746
2022-07-12;Tomate;674
2022-06-23;Cebola;579
2022-08-05;Batata Inglesa;571
2022-01-13;Tomate;765
2022-09-29;Batata Inglesa;643
2022-10-19;Cebola;696
2022-08-03;Batata Inglesa;662
2022-07-19;Cebola;428
2022-08-03;Cebola;398
2022-10-25;Batata Inglesa;550
2022-10-06;Tomate;233
2022-01-14;Cebola;385
2022-09-20;Batata Inglesa;225
2022-05-09;Tomate;583
2022-06-08;Tomate;659
2022-11-10;Tomate;949
2022-05-02;Tomate;100
2022-04-21;Batata Inglesa;873
2022-02-17;Cebola;256
2022-12-29;Tomate;496
2022-03-28;Batata Inglesa;321
2022-02-16;Tomate;782
2022-01-25;Batata Inglesa;888
2022-01-03;Batata Inglesa;889
2022-03-04;Batata Inglesa;397
2022-04-27;Cebola;679
2022-12-20;Batata Inglesa;824
2022-02-25;Cebola;483
2022-08-26;Cebola;745
2022-07-28;Tomate;540
2022-07-15;Cebola;585
2022-01-13;Cebola;467
2022-04-07;Cebola;645
2022-07-11;Batata Inglesa;695
2022-10-31;Batata Inglesa;278
2022-07-25;Batata Inglesa;803
2022-07-28;Tomate;508
2022-09-01;Cebola;387
2022-07-29;Tomate;589
2022-11-14;Cebola;973
2022-10-28;Cebola;264
2022-03-29;Tomate;286
2022-09-12;Cebola;452
2022-08-10;Cebola;582
2022-05-12;Tomate;446
2022-10-17;Batata Inglesa;355
2022-03-25;Cebola;446
2022-08-10;Cebola;395
2022-02-02;Batata Inglesa;450
2022-05-16;Cebola;781
2022-01-12;Batata Inglesa;253
2022-05-30;Cebola;615
2022-07-05;Batata Inglesa;609
2022-10-14;Tomate;587
2022-09-21;Tomate;700
2022-06-09;Tomate;610
2022-12-22;Cebola;723
2022-09-23;Cebola;614
2022-02-07;Cebola;514
2022-02-01;Cebola;765
2022-02-08;Cebola;525
2022-07-20;Tomate;673
2022-02-07;Cebola;687
2022-10-12;Cebola;100
2022-05-19;Tomate;591
2022-05-09;Tomate;404
2022-11-30;Cebola;922
2022-11-24;Tomate;511
2022-06-24;Batata Inglesa;530
2022-06-01;Tomate;407
2022-03-18;Cebola;739
2022-06-23;Batata Inglesa;539
2022-06-01;Tomate;710
2022-10-04;Tomate;929
2022-03-02;Tomate;493
2022-10-03;Batata Inglesa;837
2022-03-07;Tomate;511
2022-11-14;Batata Inglesa;471
2022-09-27;Tomate;608
2022-09-15;Cebola;435
2022-01-31;Tomate;206
2022-06-01;Batata Inglesa;408
2022-06-20;Batata Inglesa;427
2022-02-18;Batata Inglesa;358
2022-05-05;Batata Inglesa;402
2022-03-09;Batata Inglesa;518
2022-11-11;Cebola;154
2022-09-14;Batata Inglesa;686
2022-09-05;Cebola;486
2022-12-22;Batata Inglesa;465
2022-07-08;Cebola;672
2022-06-30;Tomate;418
2022-04-18;Batata Inglesa;477
2022-11-08;Cebola;527
2022-02-24;Batata Inglesa;569
2022-07-26;Cebola;544
2022-07-20;Tomate;183
2022-08-26;Cebola;618
2022-06-06;Cebola;652
2022-11-25;Tomate;551
2022-10-26;Batata Inglesa;540
2022-09-08;Tomate;869
2022-09-27;Batata Inglesa;635
2022-07-26;Batata Inglesa;487
2022-07-19;Tomate;825
2022-01-14;Tomate;489
2022-10-05;Cebola;100
2022-07-28;Tomate;744
2022-08-12;Batata Inglesa;490
2022-02-24;Tomate;874
2022-11-21;Batata Inglesa;471
2022-02-14;Batata Inglesa;552
2022-09-27;Cebola;465
2022-01-14;Cebola;927
2022-05-09;Batata Inglesa;278
2022-02-17;Tomate;749
2022-09-09;Batata Inglesa;667
2022-02-16;Cebola;381
2022-05-05;Cebola;267
2022-12-26;Cebola;357
2022-09-20;Batata Inglesa;864
2022-05-26;Cebola;816
2022-03-28;Cebola;355
2022-02-04;Cebola;550
2022-09-27;Batata Inglesa;573
2022-06-14;Tomate;541
2022-11-16;Tomate;315
2022-02-07;Tomate;711
2022-04-27;Tomate;887
2022-11-09;Cebola;257
2022-08-30;Cebola;341
2022-05-19;Tomate;683
2022-02-23;Batata Inglesa;702
2022-02-21;Batata Inglesa;376
2022-06-30;Cebola;499
2022-10-27;Tomate;999
2022-08-30;Tomate;919
2022-11-11;Tomate;100
2022-08-08;Cebola;624
2022-07-28;Cebola;597
2022-01-18;Tomate;418
2022-07-06;Cebola;680
2022-09-30;Tomate;343
2022-05-30;Cebola;317
2022-05-25;Cebola;805
2022-09-20;Cebola;465
2022-07-06;Batata Inglesa;623
2022-12-08;Batata Inglesa;666
2022-02-02;Tomate;769
2022-03-30;Tomate;698
2022-06-06;Cebola;571
2022-06-02;Cebola;168
2022-06-10;Batata Inglesa;999
2022-03-22;Tomate;442
2022-08-15;Tomate;577
2022-08-04;Tomate;648
2022-12-02;Tomate;447
2022-01-06;Cebola;749
2022-06-27;Cebola;400
2022-02-07;Tomate;587
2022-01-03;Tomate;427
2022-11-01;Cebola;593
2022-10-03;Cebola;338
2022-10-25;Tomate;425
2022-09-29;Tomate;280
2022-08-29;Batata Inglesa;381
2022-11-02;Tomate;521
2022-01-07;Cebola;649
2022-07-07;Cebola;397
2022-04-01;Batata Inglesa;545
2022-11-29;Cebola;761
2022-03-28;Batata Inglesa;825
2022-09-09;Cebola;370
2022-08-25;Batata Inglesa;205
2022-07-19;Tomate;475
2022-06-16;Cebola;625
2022-07-25;Batata Inglesa;848
2022-03-03;Batata Inglesa;923
2022-01-07;Tomate;555
2022-03-11;Cebola;254
2022-03-10;Cebola;527
2022-08-26;Cebola;938
2022-11-07;Batata Inglesa;149
2022-06-29;Cebola;421
2022-08-15;Tomate;875
2022-06-17;Batata Inglesa;816
2022-09-22;Cebola;597
2022-10-20;Cebola;993
2022-11-28;Batata Inglesa;714
2022-05-30;Batata Inglesa;344
2022-08-15;Cebola;725
2022-12-27;Cebola;429
2022-04-06;Tomate;411
2022-01-06;Tomate;609
2022-08-04;Cebola;461
2022-10-10;Tomate;914
2022-02-28;Batata Inglesa;548
2022-12-01;Cebola;607
2022-09-09;Batata Inglesa;761
2022-09-30;Cebola;744
2022-01-24;Batata Inglesa;515
2022-10-21;Batata Inglesa;501
2022-05-16;Cebola;473
2022-03-17;Tomate;564
2022-06-07;Tomate;428
2022-10-13;Cebola;645
2022-11-17;Batata Inglesa;954
2022-05-12;Tomate;361
2022-08-26;Cebola;510
2022-08-09;Tomate;438
2022-11-30;Tomate;626
2022-03-10;Tomate;349
2022-08-16;Cebola;532
2022-02-14;Tomate;379
2022-04-15;Batata Inglesa;605
2022-09-23;Cebola;458
2022-04-14;Batata Inglesa;743
2022-07-05;Cebola;495
2022-03-23;Batata Inglesa;836
2022-09-01;Batata Inglesa;166
2022-02-02;Tomate;823
2022-04-19;Cebola;454
2022-11-25;Tomate;722
2022-05-05;Tomate;304
2022-10-31;Cebola;878
2022-04-13;Batata Inglesa;913
2022-04-21;Cebola;999
2022-09-28;Cebola;612
2022-05-27;Batata Inglesa;331
2022-03-29;Cebola;336
2022-05-11;Batata Inglesa;796
2022-12-27;Tomate;810
2022-06-09;Cebola;489
2022-04-12;Tomate;422
2022-10-17;Cebola;758
2022-03-25;Cebola;100
2022-10-26;Tomate;357
2022-05-19;Tomate;432
2022-03-23;Cebola;386
2022-05-19;Cebola;158
2022-09-12;Batata Inglesa;583
2022-10-19;Tomate;219
2022-01-27;Batata Inglesa;471
2022-02-01;Tomate;733
2022-01-17;Batata Inglesa;302
2022-09-13;Batata Inglesa;678
2022-10-10;Cebola;573
2022-03-11;Tomate;527
2022-07-18;Cebola;816
2022-12-07;Batata Inglesa;788
2022-10-20;Tomate;339
2022-03-04;Batata Inglesa;645
2022-10-04;Cebola;532
2022-04-07;Cebola;287
2022-09-14;Tomate;377
2022-04-12;Tomate;332
2022-02-01;Tomate;596
2022-12-15;Batata Inglesa;817
2022-12-16;Cebola;857
2022-06-22;Cebola;503
2022-10-19;Tomate;484
2022-10-03;Tomate;819
2022-06-08;Tomate;100
2022-08-30;Tomate;718
2022-10-25;Cebola;566
2022-11-18;Batata Inglesa;876
2022-09-27;Tomate;438
2022-10-17;Tomate;718
2022-04-07;Tomate;335
2022-03-30;Tomate;457
2022-01-10;Batata Inglesa;765
2022-12-30;Batata Inglesa;577
2022-02-01;Cebola;450
2022-09-20;Tomate;367
2022-02-02;Batata Inglesa;611
2022-11-24;Tomate;667
2022-07-26;Cebola;359
2022-01-24;Tomate;677
2022-10-25;Batata Inglesa;351
2022-06-24;Cebola;849
2022-06-13;Cebola;141
2022-05-26;Batata Inglesa;566
2022-05-09;Tomate;261
2022-12-08;Tomate;556
2022-01-10;Batata Inglesa;448
2022-12-16;Cebola;468
2022-07-28;Batata Inglesa;502
2022-08-02;Batata Inglesa;323
2022-11-18;Cebola;914
2022-08-16;Cebola;911
2022-10-13;Cebola;282
2022-06-21;Tomate;745
2022-06-10;Batata Inglesa;674
2022-12-06;Tomate;352
2022-05-05;Tomate;727
2022-01-20;Batata Inglesa;532
2022-03-14;Cebola;256
2022-12-23;Batata Inglesa;538
2022-02-21;Tomate;532
2022-07-01;Tomate;100
2022-12-09;Tomate;669
2022-04-11;Tomate;705
2022-09-02;Batata Inglesa;434
2022-10-18;Batata Inglesa;329
2022-03-10;Cebola;581
2022-09-13;Tomate;178
2022-02-09;Tomate;706
2022-10-20;Batata Inglesa;436
2022-11-30;Cebola;999
2022-02-15;Tomate;311
2022-07-27;Batata Inglesa;366
2022-04-08;Batata Inglesa;557
2022-09-07;Cebola;679
2022-04-07;Cebola;512
2022-07-27;Batata Inglesa;507
2022-08-19;Cebola;842
2022-10-25;Tomate;326
2022-04-20;Batata Inglesa;331
2022-10-18;Tomate;891
2022-04-05;Tomate;545
2022-08-11;Batata Inglesa;422
2022-02-10;Batata Inglesa;516
2022-09-26;Tomate;380
2022-04-11;Tomate;405
2022-11-01;Cebola;540
2022-10-06;Cebola;662
2022-04-14;Tomate;449
2022-02-14;Tomate;662
2022-12-20;Cebola;496
2022-02-08;Tomate;222
2022-04-05;Batata Inglesa;913
2022-02-07;Cebola;617
2022-01-11;Cebola;507
2022-11-29;Tomate;291
2022-09-08;Batata Inglesa;197
2022-10-05;Tomate;280
2022-08-26;Cebola;485
2022-03-08;Batata Inglesa;419
2022-03-28;Batata Inglesa;476
2022-08-09;Cebola;414
2022-01-03;Tomate;783
2022-11-29;Cebola;475
2022-01-24;Tomate;389
2022-06-16;Cebola;698
2022-12-22;Tomate;800
2022-05-05;Batata Inglesa;331
2022-11-08;Tomate;100
2022-12-29;Cebola;631
2022-10-07;Tomate;181
2022-10-05;Batata Inglesa;768
2022-04-01;Tomate;496
2022-11-14;Cebola;756
2022-05-12;Cebola;236
2022-08-09;Cebola;838
2022-08-26;Batata Inglesa;726
2022-05-04;Tomate;290
2022-01-28;Cebola;361
2022-03-14;Batata Inglesa;593
2022-12-16;Batata Inglesa;196
2022-09-29;Batata Inglesa;492
2022-05-16;Batata Inglesa;312
2022-10-11;Tomate;707
2022-10-19;Batata Inglesa;301
2022-06-10;Batata Inglesa;586
2022-10-17;Cebola;264
2022-08-29;Tomate;613
2022-05-18;Cebola;785
2022-02-23;Tomate;599
2022-04-20;Batata Inglesa;527
2022-08-05;Cebola;239
2022-11-17;Tomate;366
2022-04-20;Batata Inglesa;486
2022-11-01;Cebola;287
2022-10-24;Cebola;645
2022-06-07;Tomate;938
2022-07-26;Batata Inglesa;416
2022-03-09;Cebola;795
2022-10-07;Batata Inglesa;249
2022-04-14;Cebola;678
2022-12-09;Cebola;828
2022-12-12;Batata Inglesa;942
2022-12-21;Cebola;511
2022-09-12;Batata Inglesa;565
2022-01-04;Batata Inglesa;388
2022-12-05;Tomate;999
2022-10-24;Batata Inglesa;743
2022-05-05;Batata Inglesa;301
2022-12-08;Batata Inglesa;600
2022-01-03;Cebola;258
2022-03-14;Batata Inglesa;510
2022-04-08;Batata Inglesa;457
2022-10-28;Tomate;485
2022-03-23;Cebola;299
2022-02-17;Tomate;889
2022-02-02;Cebola;999
2022-01-28;Cebola;519
2022-03-16;Cebola;660
2022-02-02;Batata Inglesa;621
2022-04-26;Batata Inglesa;639
2022-10-05;Tomate;539
2022-06-16;Cebola;100
2022-01-05;Batata Inglesa;247
2022-05-26;Cebola;756
2022-12-02;Tomate;666
2022-02-11;Tomate;372
2022-05-26;Tomate;788
2022-04-20;Cebola;911
2022-02-14;Cebola;527
2022-01-06;Batata Inglesa;616
2022-10-17;Cebola;544
2022-10-05;Tomate;332
2022-11-28;Cebola;868
2022-06-13;Batata Inglesa;814
2022-09-21;Batata Inglesa;717
2022-05-10;Cebola;433
2022-07-29;Cebola;185
2022-07-06;Tomate;585
2022-01-24;Cebola;666
2022-09-16;Tomate;999
2022-03-16;Batata Inglesa;621
2022-01-27;Batata Inglesa;704
2022-09-08;Cebola;186
2022-04-12;Batata Inglesa;240
2022-11-15;Cebola;500
2022-03-16;Tomate;489
2022-07-06;Tomate;469
2022-05-20;Tomate;817
2022-12-08;Cebola;421
2022-12-23;Cebola;293
2022-02-14;Cebola;398
2022-01-04;Tomate;726
2022-06-06;Tomate;626
2022-11-17;Batata Inglesa;197
2022-05-27;Batata Inglesa;297
2022-06-23;Cebola;554
2022-09-15;Cebola;256
2022-08-25;Batata Inglesa;417
2022-03-03;Batata Inglesa;300
2022-07-06;Batata Inglesa;999
2022-12-21;Tomate;345
2022-05-24;Tomate;623
2022-09-01;Batata Inglesa;529
2022-04-15;Cebola;777
2022-07-15;Batata Inglesa;586
2022-04-28;Tomate;465
2022-02-21;Tomate;588
2022-11-22;Cebola;808
2022-12-06;Batata Inglesa;359
2022-04-29;Batata Inglesa;595
2022-11-28;Batata Inglesa;577
2022-01-25;Cebola;630
2022-08-12;Batata Inglesa;394
2022-05-25;Tomate;754
2022-11-21;Batata Inglesa;375
2022-09-13;Cebola;741
2022-04-04;Batata Inglesa;611
2022-04-25;Cebola;398
2022-06-20;Cebola;453
2022-09-02;Cebola;976
2022-09-30;Tomate;452
2022-09-15;Cebola;391
2022-07-05;Tomate;688
2022-12-06;Cebola;370
2022-12-01;Cebola;729
2022-04-27;Cebola;430
2022-02-22;Batata Inglesa;204
2022-12-07;Batata Inglesa;351
2022-03-14;Tomate;331
2022-02-22;Tomate;710
2022-03-07;Tomate;550
2022-06-21;Cebola;324
2022-11-15;Batata Inglesa;460
2022-08-25;Batata Inglesa;816
2022-01-13;Tomate;204
2022-04-05;Cebola;511
2022-05-31;Tomate;647
2022-06-13;Tomate;560
2022-11-14;Cebola;276
2022-09-12;Batata Inglesa;548
2022-03-07;Cebola;338
2022-08-19;Cebola;495
2022-08-03;Tomate;100
2022-09-23;Cebola;245
2022-06-10;Tomate;858
2022-02-16;Tomate;404
2022-12-20;Batata Inglesa;154
2022-08-04;Batata Inglesa;397
2022-09-09;Cebola;498
2022-08-08;Cebola;750
2022-10-07;Batata Inglesa;530
2022-05-20;Batata Inglesa;468
2022-03-08;Cebola;498
2022-10-19;Tomate;909
2022-05-24;Batata Inglesa;520
2022-11-25;Cebola;170
2022-11-24;Tomate;427
2022-04-11;Cebola;422
2022-07-21;Tomate;528
2022-07-20;Batata Inglesa;612
2022-06-03;Tomate;100
2022-05-19;Cebola;225
2022-12-20;Batata Inglesa;517
2022-11-02;Cebola;811
2022-06-23;Cebola;100
2022-06-23;Cebola;239
2022-01-18;Cebola;717
2022-04-04;Tomate;682
2022-06-02;Cebola;350
2022-02-14;Batata Inglesa;278
2022-02-14;Cebola;111
2022-03-29;Tomate;162
2022-01-25;Batata Inglesa;736
2022-04-18;Cebola;542
2022-09-09;Tomate;999
2022-01-20;Tomate;489
2022-02-18;Tomate;429
2022-06-29;Batata Inglesa;325
2022-06-15;Cebola;234
2022-12-01;Cebola;692
2022-05-23;Tomate;727
2022-07-07;Batata Inglesa;591
2022-06-13;Cebola;376
2022-05-24;Tomate;322
2022-02-21;Cebola;473
2022-08-31;Tomate;317
2022-08-08;Cebola;583
2022-06-13;Tomate;572
2022-12-07;Batata Inglesa;603
2022-04-07;Tomate;611
2022-04-05;Tomate;697
2022-07-04;Cebola;383
2022-08-19;Tomate;270
2022-03-04;Batata Inglesa;744
2022-08-31;Cebola;294
2022-03-24;Cebola;769
2022-02-24;Cebola;999
2022-02-04;Cebola;754
2022-04-15;Tomate;100
2022-10-20;Tomate;744
2022-03-15;Tomate;648
2022-02-23;Tomate;466
2022-03-10;Tomate;617
2022-08-10;Cebola;714
2022-07-06;Cebola;586
2022-11-11;Cebola;104
2022-08-15;Batata Inglesa;100
2022-12-02;Batata Inglesa;100
2022-09-19;Cebola;534
2022-07-07;Cebola;529
2022-05-03;Tomate;803
2022-11-08;Batata Inglesa;296
2022-11-10;Batata Inglesa;757
2022-09-13;Batata Inglesa;670
2022-11-28;Tomate;271
2022-07-15;Tomate;595
2022-04-08;Tomate;488
2022-12-29;Batata Inglesa;461
2022-08-03;Batata Inglesa;414
2022-12-23;Batata Inglesa;666
2022-03-15;Cebola;640
2022-05-03;Tomate;666
2022-06-06;Tomate;819
2022-10-04;Batata Inglesa;618
2022-11-11;Batata Inglesa;487
2022-09-09;Batata Inglesa;647
2022-08-23;Tomate;847
2022-11-02;Batata Inglesa;438
2022-07-19;Tomate;687
2022-07-07;Batata Inglesa;599
2022-05-03;Tomate;581
2022-08-03;Tomate;748
2022-08-23;Batata Inglesa;570
2022-03-14;Tomate;684
2022-11-21;Tomate;999
2022-08-12;Batata Inglesa;246
2022-06-02;Batata Inglesa;124
2022-11-28;Batata Inglesa;648
2022-10-10;Tomate;371
2022-08-12;Batata Inglesa;133
2022-06-24;Batata Inglesa;415
2022-12-06;Tomate;552
2022-03-04;Batata Inglesa;549
2022-08-16;Cebola;645
2022-03-30;Tomate;707
2022-05-02;Batata Inglesa;621
2022-07-04;Tomate;415
2022-12-09;Tomate;318
2022-06-06;Cebola;702
2022-10-10;Tomate;401
2022-10-18;Cebola;313
2022-01-21;Cebola;735
2022-07-04;Cebola;587
2022-11-22;Batata Inglesa;999
2022-12-02;Cebola;553
2022-08-17;Batata Inglesa;580
2022-02-21;Cebola;560
2022-05-20;Batata Inglesa;508
2022-03-21;Batata Inglesa;299
2022-08-16;Tomate;631
2022-12-29;Cebola;490
2022-12-08;Tomate;300
2022-10-20;Tomate;736
2022-06-28;Cebola;513
2022-01-25;Tomate;272
2022-08-02;Batata Inglesa;923
2022-08-22;Tomate;512
2022-07-20;Cebola;452
2022-06-29;Cebola;327
2022-08-09;Batata Inglesa;356
2022-04-11;Tomate;740
2022-02-10;Cebola;536
2022-06-22;Batata Inglesa;650
2022-01-21;Batata Inglesa;599
2022-05-03;Batata Inglesa;504
